Basin,CycloneID,Longitude,Latitude,DateTime,WindSpeed,PressureDrop,Pressure
ATLN,200301L,-66.0,31.4,2003041815,30.0,0.0,1008.0
ATLN,200301L,-66.3,31.9,2003041818,30.0,0.0,1007.0
ATLN,200301L,-66.6,32.5,2003041821,30.0,0.0,1007.0
ATLN,200301L,-68.6,34.5,2003041912,35.0,0.0,1006.0
ATLN,200301L,-68.8,34.4,2003041915,35.0,0.0,1006.0
ATLN,200301L,-69.1,34.3,2003041918,35.0,0.0,1006.0
ATLN,200301L,-69.0,34.0,2003041921,38.0,0.0,1006.0
ATLN,200301L,-68.2,32.0,2003042012,45.0,0.0,1000.0
ATLN,200301L,-67.8,31.9,2003042015,45.0,0.0,999.0
ATLN,200301L,-67.3,31.7,2003042018,45.0,0.0,998.0
ATLN,200301L,-66.8,31.5,2003042021,48.0,0.0,997.0
ATLN,200301L,-64.8,30.0,2003042112,50.0,0.0,995.0
ATLN,200301L,-64.0,29.7,2003042115,50.0,0.0,995.0
ATLN,200301L,-63.1,29.4,2003042118,50.0,0.0,994.0
ATLN,200301L,-62.3,29.4,2003042121,50.0,0.0,994.0
ATLN,200301L,-58.5,29.6,2003042212,45.0,0.0,995.0
ATLN,200301L,-57.5,29.6,2003042215,45.0,0.0,996.0
ATLN,200301L,-56.6,29.7,2003042218,45.0,0.0,996.0
ATLN,200301L,-55.7,29.9,2003042221,43.0,0.0,997.0
ATLN,200301L,-52.3,31.0,2003042309,40.0,0.0,1000.0
ATLN,200301L,-51.5,31.4,2003042312,40.0,0.0,1000.0
ATLN,200301L,-51.0,31.6,2003042315,38.0,0.0,1001.0
ATLN,200301L,-50.6,31.9,2003042318,35.0,0.0,1001.0
ATLN,200301L,-50.1,32.0,2003042321,35.0,0.0,1002.0
ATLN,200301L,-48.3,31.9,2003042409,35.0,0.0,1005.0
ATLN,200301L,-47.8,31.8,2003042412,35.0,0.0,1005.0
ATLN,200301L,-47.2,31.6,2003042415,35.0,0.0,1005.0
ATLN,200301L,-46.6,31.5,2003042418,35.0,0.0,1005.0
ATLN,200301L,-46.0,31.5,2003042421,35.0,0.0,1005.0
ATLN,200301L,-43.7,31.6,2003042509,33.0,0.0,1004.0
ATLN,200301L,-43.1,31.7,2003042512,30.0,0.0,1003.0
ATLN,200301L,-42.6,31.8,2003042515,30.0,0.0,1004.0
ATLN,200301L,-42.1,31.8,2003042518,30.0,0.0,1004.0
ATLN,200301L,-41.5,31.9,2003042521,30.0,0.0,1005.0
ATLN,200301L,-37.0,32.6,2003042609,35.0,0.0,1002.0
ATLN,200301L,-35.6,32.9,2003042612,35.0,0.0,1002.0
ATLN,200301L,-34.2,33.3,2003042615,38.0,0.0,1002.0
ATLN,200301L,-32.8,33.6,2003042618,40.0,0.0,1002.0
ATLN,200301L,-24.1,35.7,2003042709,40.0,0.0,1000.0
ATLN,200301L,-22.4,36.1,2003042712,40.0,0.0,1000.0
ATLN,200302L,-43.4,9.6,2003061109,30.0,0.0,1008.0
ATLN,200302L,-44.2,9.7,2003061112,30.0,0.0,1008.0
ATLN,200302L,-45.0,9.7,2003061115,30.0,0.0,1009.0
ATLN,200302L,-45.9,9.7,2003061118,30.0,0.0,1010.0
ATLN,200303L,-89.3,20.0,2003062812,20.0,0.0,1008.0
ATLN,200303L,-89.3,20.1,2003062815,20.0,0.0,1008.0
ATLN,200303L,-89.4,20.3,2003062818,20.0,0.0,1008.0
ATLN,200303L,-89.6,20.6,2003062821,20.0,0.0,1008.0
ATLN,200303L,-89.8,21.0,2003062900,20.0,0.0,1008.0
ATLN,200303L,-90.5,23.4,2003062912,35.0,0.0,1007.0
ATLN,200303L,-90.8,24.0,2003062915,38.0,0.0,1008.0
ATLN,200303L,-91.1,24.6,2003062918,40.0,0.0,1009.0
ATLN,200303L,-91.2,25.3,2003062921,43.0,0.0,1009.0
ATLN,200303L,-91.3,25.9,2003063000,45.0,0.0,1008.0
ATLN,200303L,-91.5,28.2,2003063012,50.0,0.0,1002.0
ATLN,200303L,-91.3,28.6,2003063015,50.0,0.0,1000.0
ATLN,200303L,-91.0,29.1,2003063018,50.0,0.0,997.0
ATLN,200303L,-90.7,29.8,2003063021,48.0,0.0,998.0
ATLN,200303L,-90.3,30.4,2003070100,45.0,0.0,998.0
ATLN,200303L,-88.4,32.7,2003070112,25.0,0.0,1004.0
ATLN,200303L,-87.7,33.2,2003070115,23.0,0.0,1006.0
ATLN,200303L,-87.0,33.6,2003070118,20.0,0.0,1007.0
ATLN,200303L,-86.5,33.9,2003070121,20.0,0.0,1007.0
ATLN,200303L,-86.0,34.1,2003070200,20.0,0.0,1007.0
ATLN,200303L,-83.5,35.6,2003070212,20.0,0.0,1009.0
ATLN,200303L,-82.8,36.0,2003070215,20.0,0.0,1009.0
ATLN,200303L,-82.0,36.5,2003070218,20.0,0.0,1009.0
ATLN,200303L,-80.8,36.9,2003070221,20.0,0.0,1009.0
ATLN,200303L,-79.5,37.3,2003070300,20.0,0.0,1009.0
ATLN,200304L,-57.5,12.6,2003070712,30.0,0.0,1010.0
